Original Integer     irradix Representation         Interpreted as Binary          isPrime    Prime Comparison     Binary Expansion (%)
387                  100000011110                   2078                           False      0                    133.33              
388                  100000011111                   2079                           False      0                    133.33              
389                  100001000000                   2112                           False      2                    133.33              
390                  100001000010                   2114                           False      0                    133.33              
391                  100001000011                   2115                           False      0                    133.33              
392                  100001001000                   2120                           False      0                    133.33              
393                  100001001001                   2121                           False      0                    133.33              
394                  100001001100                   2124                           False      0                    133.33              
395                  100001001110                   2126                           False      0                    133.33              
396                  100001001111                   2127                           False      0                    133.33              
397                  100001100000                   2144                           False      2                    133.33              
398                  100001100001                   2145                           False      0                    133.33              
399                  100001100100                   2148                           False      0                    133.33              
400                  100001100110                   2150                           False      0                    133.33              
401                  100001100111                   2151                           False      2                    133.33              
402                  100001110000                   2160                           False      0                    133.33              
403                  100001110010                   2162                           False      0                    133.33              
404                  100001110011                   2163                           False      0                    133.33              
405                  100001111000                   2168                           False      0                    133.33              
406                  100001111001                   2169                           False      0                    133.33              
407                  100001111100                   2172                           False      0                    133.33              
408                  100001111110                   2174                           False      0                    133.33              
409                  100001111111                   2175                           False      2                    133.33              
410                  100100000000                   2304                           False      0                    133.33              
411                  100100000010                   2306                           False      0                    133.33              
412                  100100000011                   2307                           False      0                    133.33              
413                  100100001000                   2312                           False      0                    133.33              
414                  100100001001                   2313                           False      0                    133.33              
415                  100100001100                   2316                           False      0                    133.33              
416                  100100001110                   2318                           False      0                    133.33              
417                  100100001111                   2319                           False      0                    133.33              
418                  100100100000                   2336                           False      0                    133.33              
419                  100100100001                   2337                           False      2                    133.33              
420                  100100100100                   2340                           False      0                    133.33              
421                  100100100110                   2342                           False      2                    133.33              
422                  100100100111                   2343                           False      0                    133.33              
423                  100100110000                   2352                           False      0                    133.33              
424                  100100110010                   2354                           False      0                    133.33              
425                  100100110011                   2355                           False      0                    133.33              
426                  100100111000                   2360                           False      0                    133.33              
427                  100100111001                   2361                           False      0                    133.33              
428                  100100111100                   2364                           False      0                    133.33              
429                  100100111110                   2366                           False      0                    133.33              
430                  100100111111                   2367                           False      0                    133.33              
431                  100110000000                   2432                           False      2                    133.33              
432                  100110000001                   2433                           False      0                    133.33              
433                  100110000100                   2436                           False      2                    133.33              
434                  100110000110                   2438                           False      0                    133.33              
435                  100110000111                   2439                           False      0                    133.33              
436                  100110010000                   2448                           False      0                    133.33              
437                  100110010010                   2450                           False      0                    133.33              
438                  100110010011                   2451                           False      0                    133.33              
439                  100110011000                   2456                           False      2                    133.33              
440                  100110011001                   2457                           False      0                    133.33              
441                  100110011100                   2460                           False      0                    133.33              
442                  100110011110                   2462                           False      0                    133.33              
443                  100110011111                   2463                           False      2                    133.33              
444                  100111000000                   2496                           False      0                    133.33              
445                  100111000010                   2498                           False      0                    133.33              
446                  100111000011                   2499                           False      0                    133.33              
447                  100111001000                   2504                           False      0                    133.33              
448                  100111001001                   2505                           False      0                    133.33              
449                  100111001100                   2508                           False      2                    133.33              
450                  100111001110                   2510                           False      0                    133.33              
451                  100111001111                   2511                           False      0                    133.33              
452                  100111100000                   2528                           False      0                    133.33              
453                  100111100001                   2529                           False      0                    133.33              
454                  100111100100                   2532                           False      0                    133.33              
455                  100111100110                   2534                           False      0                    133.33              
456                  100111100111                   2535                           False      0                    133.33              
457                  100111110000                   2544                           False      2                    133.33              
458                  100111110010                   2546                           False      0                    133.33              
459                  100111110011                   2547                           False      0                    133.33              
460                  100111111000                   2552                           False      0                    133.33              
461                  100111111001                   2553                           False      2                    133.33              
462                  100111111100                   2556                           False      0                    133.33              
463                  100111111110                   2558                           False      2                    133.33              
464                  100111111111                   2559                           False      0                    133.33              
465                  110000000000                   3072                           False      0                    133.33              
466                  110000000010                   3074                           False      0                    133.33              
467                  110000000011                   3075                           False      2                    133.33              
468                  110000001000                   3080                           False      0                    133.33              
469                  110000001001                   3081                           False      0                    133.33              
470                  110000001100                   3084                           False      0                    133.33              
471                  110000001110                   3086                           False      0                    133.33              
472                  110000001111                   3087                           False      0                    133.33              
473                  110000100000                   3104                           False      0                    133.33              
474                  110000100001                   3105                           False      0                    133.33              
475                  110000100100                   3108                           False      0                    133.33              
476                  110000100110                   3110                           False      0                    133.33              
477                  110000100111                   3111                           False      0                    133.33              
478                  110000110000                   3120                           False      0                    133.33              
479                  110000110010                   3122                           False      2                    133.33              
480                  110000110011                   3123                           False      0                    133.33              
481                  110000111000                   3128                           False      0                    133.33              
482                  110000111001                   3129                           False      0                    133.33              
483                  110000111100                   3132                           False      0                    133.33              
484                  110000111110                   3134                           False      0                    133.33              
485                  110000111111                   3135                           False      0                    133.33              
486                  110010000000                   3200                           False      0                    133.33              
487                  110010000001                   3201                           False      2                    133.33              
488                  110010000100                   3204                           False      0                    133.33              
489                  110010000110                   3206                           False      0                    133.33              
490                  110010000111                   3207                           False      0                    133.33              
491                  110010010000                   3216                           False      2                    133.33              
492                  110010010010                   3218                           False      0                    133.33              
493                  110010010011                   3219                           False      0                    133.33              
494                  110010011000                   3224                           False      0                    133.33              
495                  110010011001                   3225                           False      0                    133.33              
496                  110010011100                   3228                           False      0                    133.33              
497                  110010011110                   3230                           False      0                    133.33              
498                  110010011111                   3231                           False      0                    133.33              
499                  110011000000                   3264                           False      2                    133.33              
500                  110011000010                   3266                           False      0                    133.33              
501                  110011000011                   3267                           False      0                    133.33              
502                  110011001000                   3272                           False      0                    133.33              
503                  110011001001                   3273                           False      2                    133.33              
504                  110011001100                   3276                           False      0                    133.33              
505                  110011001110                   3278                           False      0                    133.33              
506                  110011001111                   3279                           False      0                    133.33              
507                  110011100000                   3296                           False      0                    133.33              
508                  110011100001                   3297                           False      0                    133.33              
509                  110011100100                   3300                           False      2                    133.33              
510                  110011100110                   3302                           False      0                    133.33              
511                  110011100111                   3303                           False      0                    133.33              
512                  110011110000                   3312                           False      0                    120.00              
513                  110011110010                   3314                           False      0                    120.00              
514                  110011110011                   3315                           False      0                    120.00              
515                  110011111000                   3320                           False      0                    120.00              
516                  110011111001                   3321                           False      0                    120.00              
517                  110011111100                   3324                           False      0                    120.00              
518                  110011111110                   3326                           False      0                    120.00              
519                  110011111111                   3327                           False      0                    120.00              
520                  111000000000                   3584                           False      0                    120.00              
521                  111000000001                   3585                           False      2                    120.00              
522                  111000000100                   3588                           False      0                    120.00              
523                  111000000110                   3590                           False      2                    120.00              
524                  111000000111                   3591                           False      0                    120.00              
525                  111000010000                   3600                           False      0                    120.00              
526                  111000010010                   3602                           False      0                    120.00              
527                  111000010011                   3603                           False      0                    120.00              
528                  111000011000                   3608                           False      0                    120.00              
529                  111000011001                   3609                           False      0                    120.00              
530                  111000011100                   3612                           False      0                    120.00              
531                  111000011110                   3614                           False      0                    120.00              
532                  111000011111                   3615                           False      0                    120.00              
533                  111001000000                   3648                           False      0                    120.00              
534                  111001000010                   3650                           False      0                    120.00              
535                  111001000011                   3651                           False      0                    120.00              
536                  111001001000                   3656                           False      0                    120.00              
537                  111001001001                   3657                           False      0                    120.00              
538                  111001001100                   3660                           False      0                    120.00              
539                  111001001110                   3662                           False      0                    120.00              
540                  111001001111                   3663                           False      0                    120.00              
541                  111001100000                   3680                           False      2                    120.00              
542                  111001100001                   3681                           False      0                    120.00              
543                  111001100100                   3684                           False      0                    120.00              
544                  111001100110                   3686                           False      0                    120.00              
545                  111001100111                   3687                           False      0                    120.00              
546                  111001110000                   3696                           False      0                    120.00              
547                  111001110010                   3698                           False      2                    120.00              
548                  111001110011                   3699                           False      0                    120.00              
549                  111001111000                   3704                           False      0                    120.00              
550                  111001111001                   3705                           False      0                    120.00              
551                  111001111100                   3708                           False      0                    120.00              
552                  111001111110                   3710                           False      0                    120.00              
553                  111001111111                   3711                           False      0                    120.00              
554                  111100000000                   3840                           False      0                    120.00              
555                  111100000010                   3842                           False      0                    120.00              
556                  111100000011                   3843                           False      0                    120.00              
557                  111100001000                   3848                           False      2                    120.00              
558                  111100001001                   3849                           False      0                    120.00              
559                  111100001100                   3852                           False      0                    120.00              
560                  111100001110                   3854                           False      0                    120.00              
561                  111100001111                   3855                           False      0                    120.00              
562                  111100100000                   3872                           False      0                    120.00              
563                  111100100001                   3873                           False      2                    120.00              
564                  111100100100                   3876                           False      0                    120.00              
565                  111100100110                   3878                           False      0                    120.00              
566                  111100100111                   3879                           False      0                    120.00              
567                  111100110000                   3888                           False      0                    120.00              
568                  111100110010                   3890                           False      0                    120.00              
569                  111100110011                   3891                           False      2                    120.00              
570                  111100111000                   3896                           False      0                    120.00              
571                  111100111001                   3897                           False      2                    120.00              
572                  111100111100                   3900                           False      0                    120.00              
573                  111100111110                   3902                           False      0                    120.00              
574                  111100111111                   3903                           False      0                    120.00              
575                  111110000000                   3968                           False      0                    120.00              
576                  111110000001                   3969                           False      0                    120.00              
577                  111110000100                   3972                           False      2                    120.00              
578                  111110000110                   3974                           False      0                    120.00              
579                  111110000111                   3975                           False      0                    120.00              
580                  111110010000                   3984                           False      0                    120.00              
581                  111110010010                   3986                           False      0                    120.00              
582                  111110010011                   3987                           False      0                    120.00              
583                  111110011000                   3992                           False      0                    120.00              
584                  111110011001                   3993                           False      0                    120.00              
585                  111110011100                   3996                           False      0                    120.00              
586                  111110011110                   3998                           False      0                    120.00              
587                  111110011111                   3999                           False      2                    120.00              
588                  111111000000                   4032                           False      0                    120.00              
589                  111111000010                   4034                           False      0                    120.00              
590                  111111000011                   4035                           False      0                    120.00              
591                  111111001000                   4040                           False      0                    120.00              
592                  111111001001                   4041                           False      0                    120.00              
593                  111111001100                   4044                           False      2                    120.00              
594                  111111001110                   4046                           False      0                    120.00              
595                  111111001111                   4047                           False      0                    120.00              
596                  111111100000                   4064                           False      0                    120.00              
597                  111111100001                   4065                           False      0                    120.00              
598                  111111100100                   4068                           False      0                    120.00              
599                  111111100110                   4070                           False      2                    120.00              
600                  111111100111                   4071                           False      0                    120.00              
601                  111111110000                   4080                           False      2                    120.00              
602                  111111110010                   4082                           False      0                    120.00              
603                  111111110011                   4083                           False      0                    120.00              
604                  111111111000                   4088                           False      0                    120.00              
605                  111111111001                   4089                           False      0                    120.00              
606                  111111111100                   4092                           False      0                    120.00              
607                  111111111110                   4094                           False      2                    120.00              
608                  111111111111                   4095                           False      0                    120.00              
609                  1000000000000                  4096                           False      0                    130.00              
610                  1000000000010                  4098                           False      0                    130.00              
611                  1000000000011                  4099                           True       1                    130.00              
612                  1000000001000                  4104                           False      0                    130.00              
613                  1000000001001                  4105                           False      2                    130.00              
614                  1000000001100                  4108                           False      0                    130.00              
615                  1000000001110                  4110                           False      0                    130.00              
616                  1000000001111                  4111                           True       1                    130.00              
